Nudie Jeans
green
assess,Exclusively organic products,Environment: Praise,"Since 2012 all of their garments are made with 100% organic cotton, certified by either EU Certified or the Global Organic Textile Standard (GOTS).
[Source 2016][More on Eco-Certification]"
assess,Child labour scorecard,Social: Praise,"This website by German NGO Earth Link rates companies on their corporate policies against child labour, production monitoring and accusations of child labour. This company received three green marks, indicating good performance in all of these areas.
[Source 2013][More on Human Rights]"
assess,Fair Wear Foundation member,Social: Praise,"Fair Wear Foundation's (FWF) mission is to improve labour conditions in the garment industry. It is an international verification initiative dedicated to enhancing workers' lives all over the world. They work closely with a growing number of companies that produce clothing and other sewn products and that take responsibility for their supply chain. FWF keeps track of the improvements made by the companies it works with. And through sharing expertise, social dialogue and strengthening industrial relations, FWF increases the effectiveness of the efforts made by companies.
[Source 2013][More on Workers Rights]"
assess,A- grade at Behind the Barcode,Social: Praise,"A- grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]"
assess,'B' rating at rankabrand.org,Business Ethics: lesser praise ,"Rank a Brand searches the websites of brands for the answers to carefully targeted questions. From this they calculate sustainability scores based on the themes of environment, climate, labor issues, and transparency. Brands owned by this company received a 'B'.
[Source 2015][More on Sustainability Reporting]"
assess,Trust Mark approved brands,Environment: minor praise,"This company owns brands which have been awarded Positive Luxury's Trust Mark. To be accredited brands are assessed in the following areas: philanthropy, environmental, social, innovation, community and governance.
[Source 2015][More on Eco-Certification]"
assess,Fairtrade products,Social: minor praise,"This company sells Fairtrade Certified products.
[Source 2015][More on Workers Rights]"
assess,Textile Exchange member,Business Ethics: minor praise,"Textile Exchange (formerly known as Organic Exchange) is a US-based non-profit organization which operates internationally and is committed to the responsible expansion of textile sustainability across the global textile value chain, with a special focus on organic cotton.
[Source 2013][More on Multi-Stakeholder Initiatives]"
assess,Sustainability claims,Business Ethics: minor praise,"This company has a number sustainability claims on its website including use of 100% organic cotton, socially responsible production, transparent production, free repair service, reselling second hand products, and recycling worn out products.
[Source 2016][More on Sustainability Reporting]"
assess,Project JUST profile,Information,"Project JUST examines the manufacturing practices and ethics of fashion brands. Follow the link to see this company's profile.
[Source 2016]"
product,Nudie Jeans,Denim
